City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
MAUDA CT,6593.857674418606,4499.27,5033.21,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
CHANDIGARH,6593.857674418606,6208.52,4970.07,3787.0,3649.0,1701.0,1716.0
KAGAL,6593.857674418606,5305.27,4963.07,3466.0,2904.4156626506024,1092.7440273037544,1190.857142857143
RATNAGIRI,6593.857674418606,4991.09,4961.27,3516.0,2844.0,1092.7440273037544,1190.857142857143
BRAHMAPURI,6593.857674418606,4855.93,4936.59,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
VADGAON,6593.857674418606,5384.54,4901.25,3744.0,2904.4156626506024,1092.7440273037544,1190.857142857143
DHULE,6593.857674418606,4885.63,4896.99,2858.0,2664.0,1187.0,1190.857142857143
GADHINGLAJ,6593.857674418606,5436.57,4895.45,3481.0,2796.0,1092.7440273037544,1190.857142857143
INDAPUR,6593.857674418606,5424.12,4888.36,3752.0,2778.0,1092.7440273037544,1190.857142857143
RAJNANDGAON,6593.857674418606,4880.85,4887.5,3391.0,2807.0,1074.0,1190.857142857143
BILASPUR,6593.857674418606,5407.03,4875.74,3617.0,3136.0,1039.0,1190.857142857143
DEOLALI PRAVARA,6593.857674418606,5680.94,4849.85,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
UJJAIN,6593.857674418606,5775.76,4826.53,4244.0,3198.0,1691.0,1190.857142857143
RAIGARH,6593.857674418606,5116.84,4808.37,3374.0,2836.0,1223.0,1190.857142857143
BURHANPUR,6593.857674418606,5004.88,4791.18,3382.0597014925374,2644.0,1156.0,1190.857142857143
RAJAPUR,6593.857674418606,5119.61,4767.52,3382.0597014925374,2752.0,1092.7440273037544,1190.857142857143
VITA,6593.857674418606,5772.55,4764.28,3970.0,2896.0,1092.7440273037544,1190.857142857143
MURGUD,6593.857674418606,5406.54,4736.62,3599.0,2904.4156626506024,1092.7440273037544,1190.857142857143
PATAN (NP),6593.857674418606,6238.97,4732.12,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SINGRAULI,6593.857674418606,5464.27,4703.93,3763.0,3122.0,1414.0,1190.857142857143
CHHINDWARA,6593.857674418606,5911.98,4691.03,3636.0,2944.0,1410.0,1190.857142857143
DUNGARPUR (M),6593.857674418606,5290.87,4688.46,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SHAHGANJ,6593.857674418606,5107.87,4672.97,3923.0,2904.4156626506024,1092.7440273037544,1190.857142857143
KARNAL,6593.857674418606,4284.23,4655.07,3736.0,2958.0,1348.0,1190.857142857143
JASHPUR NAGAR (M),6593.857674418606,5357.05,4623.17,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
NARKHED,6593.857674418606,5413.96,4622.2,3296.0,2904.4156626506024,1092.7440273037544,1190.857142857143
AMBARNATH,6593.857674418606,3280.78,4614.04,3575.0,2904.4156626506024,1272.0,1190.857142857143
MIRA-BHAYANDAR,6593.857674418606,5967.4,4608.14,3622.0,2903.0,1172.0,1190.857142857143
PANVEL,6593.857674418606,5583.64,4599.74,2969.0,2619.0,1065.0,1190.857142857143
MATHERAN,6593.857674418606,4733.22,4599.28,3382.0597014925374,2892.0,1092.7440273037544,1190.857142857143
MALKAPUR_S,6593.857674418606,5426.45,4596.7,3231.0,2904.4156626506024,1092.7440273037544,1190.857142857143
NARHARPUR (NP),6593.857674418606,4390.6,4586.4,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KHANDWA,6593.857674418606,5702.29,4560.77,2908.0,2588.0,1319.0,1190.857142857143
JALNA,6593.857674418606,3365.6,4535.17,3382.0597014925374,2904.4156626506024,626.0,1190.857142857143
PITHAMPUR,6593.857674418606,5478.74,4534.9,3273.0,2796.0,1352.0,1190.857142857143
BALLARPUR,6593.857674418606,5207.35,4534.22,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KHED,6593.857674418606,5154.38,4511.73,3382.0597014925374,2746.0,1092.7440273037544,1190.857142857143
MUL,6593.857674418606,4393.88,4500.35,4028.0,2822.0,1092.7440273037544,1190.857142857143
MAHABALESHWAR,6593.857674418606,4919.89,4478.56,3783.0,2929.0,1092.7440273037544,1190.857142857143
MAHAD,6593.857674418606,5116.7,4458.45,3462.0,2895.0,1092.7440273037544,1190.857142857143
BADNAWAR,6593.857674418606,4880.84,4454.49,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
TASGAON,6593.857674418606,5282.43,4447.71,3517.0,2788.0,1092.7440273037544,1190.857142857143
OMKARESHWAR,6593.857674418606,4320.24,4436.16,3382.0597014925374,2904.4156626506024,1489.0,1190.857142857143
KATNI,6593.857674418606,5219.06,4405.82,2872.0,2904.4156626506024,1092.7440273037544,1190.857142857143
NOIDA,6593.857674418606,6332.2,4403.22,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BHIWANDI NIZAMPUR,6593.857674418606,3551.79,4396.12,2972.0,2595.0,571.0,1190.857142857143
JAMNER,6593.857674418606,4745.49,4392.87,3382.0597014925374,2827.0,1092.7440273037544,1190.857142857143
SHIRUR,6593.857674418606,5216.59,4388.81,3140.0,2904.4156626506024,1092.7440273037544,1190.857142857143
KAWARDHA (M),6593.857674418606,5236.53,4379.51,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
Jhansi,6593.857674418606,3728.456822612087,4365.01,3086.0,2805.0,1072.0,1190.857142857143
SANGAMNER,6593.857674418606,5617.52,4355.07,3282.0,2904.4156626506024,1092.7440273037544,1190.857142857143
JAMNAGAR,6593.857674418606,4855.86,4355.02,2996.0,2904.4156626506024,1503.0,1190.857142857143
MAHADULA,6593.857674418606,5151.83,4341.99,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
PANCHGANI,6593.857674418606,6396.46,4317.98,3678.0,3184.0,1092.7440273037544,1190.857142857143
DEWAS,6593.857674418606,5634.37,4310.08,3968.0,2723.0,1386.0,1190.857142857143
Aligarh,6593.857674418606,3728.456822612087,4309.19,3382.0597014925374,2904.4156626506024,1117.0,1190.857142857143
VENGURLA,6593.857674418606,4983.92,4308.86,3347.0,2930.0,1092.7440273037544,1190.857142857143
RATLAM,6593.857674418606,5327.55,4298.72,3116.0,2712.0,1422.0,1190.857142857143
SHIRPUR- WARWADE,6593.857674418606,4953.14,4294.67,3316.0,2904.4156626506024,1092.7440273037544,1190.857142857143
SARAGAON (NP),6593.857674418606,4647.24,4293.21,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
RAMTEK,6593.857674418606,3731.31,4286.59,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
PANDHARPUR,6593.857674418606,4917.11,4281.43,3562.0,2904.4156626506024,1092.7440273037544,1190.857142857143
WADI,6593.857674418606,4929.29,4275.76,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
DOUNDAICHA WARWADE,6593.857674418606,4653.32,4275.73,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
KOLHAPUR,6593.857674418606,4094.29,4274.34,3803.0,2686.0,1048.0,1190.857142857143
VAIJAPUR,6593.857674418606,5442.02,4259.82,3400.0,2916.0,1092.7440273037544,1190.857142857143
PEN,6593.857674418606,5377.43,4235.64,3263.0,2904.4156626506024,1092.7440273037544,1190.857142857143
GEORAI,6593.857674418606,4151.13,4233.23,3382.0597014925374,2801.0,1092.7440273037544,1190.857142857143
TALALA,6593.857674418606,3688.47,4223.14,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
JUNNAR,6593.857674418606,5435.85,4222.82,3609.0,2904.4156626506024,1092.7440273037544,1190.857142857143
TALEGAON DABHADE,6593.857674418606,4255.34,4218.97,3220.0,2904.4156626506024,1092.7440273037544,1190.857142857143
RAHIMATPUR,6593.857674418606,4548.25,4215.81,3440.0,2748.0,1092.7440273037544,1190.857142857143
JAGDALPUR,6593.857674418606,5156.86,4213.39,3510.0,2904.4156626506024,922.0,1190.857142857143
BHILAI NAGAR,6593.857674418606,5500.18,4212.41,3929.0,2715.0,1407.0,1190.857142857143
VARANGAON,6593.857674418606,3214.46,4198.57,3382.0597014925374,2763.0,1092.7440273037544,1190.857142857143
ROHTAK,6593.857674418606,5143.17,4180.55,3083.0,2614.0,800.0,1190.857142857143
PIPARIYA (NP),6593.857674418606,4319.99,4179.3,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
PAITHAN,6593.857674418606,4020.79,4167.6,3382.0597014925374,2871.0,1092.7440273037544,1190.857142857143
BARAMKELA (NP),6593.857674418606,4737.22,4167.53,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SARIYA (NP),6593.857674418606,4197.05,4166.87,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
SANGLI,6593.857674418606,4076.96,4163.41,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
GANGAGHAT (NPP),6593.857674418606,2732.51,4161.12,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
AMRAVATI,6593.857674418606,4252.57,4160.24,3382.0597014925374,2904.4156626506024,922.0,1190.857142857143
BADRAVATI,6593.857674418606,5479.15,4159.69,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
AMALNER,6593.857674418606,5268.84,4159.42,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BAGASRA,6593.857674418606,2466.61,4159.25,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
BARSHI,6593.857674418606,5655.06,4153.39,3198.0,2640.0,813.0,1190.857142857143
KANTHAPHOD,6593.857674418606,4158.61,4152.98,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
MATHURA-Vrindavan (NN),6593.857674418606,3728.456822612087,4150.95,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
AHMEDANAGAR,6593.857674418606,5335.3,4147.62,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
PUSAUR (NP),6593.857674418606,4669.08,4147.2,3382.0597014925374,2904.4156626506024,1092.7440273037544,1190.857142857143
